Instancia,Status,Makespan,LB,GAP,Tiempo
medium_15x2_1,OPTIMAL,799.0,799.0,0.00,0.06
medium_15x2_2,OPTIMAL,754.0,754.0,0.00,0.03
medium_15x2_3,OPTIMAL,863.0,863.0,0.00,0.04
medium_15x2_4,OPTIMAL,772.0,772.0,0.00,0.03
medium_15x2_5,OPTIMAL,662.0,662.0,0.00,0.05
medium_15x3_1,OPTIMAL,495.0,495.0,0.00,0.05
medium_15x3_2,OPTIMAL,545.0,545.0,0.00,0.09
medium_15x3_3,OPTIMAL,612.0,612.0,0.00,0.06
medium_15x3_4,OPTIMAL,563.0,563.0,0.00,0.10
medium_15x3_5,OPTIMAL,590.0,590.0,0.00,0.05
medium_15x4_1,OPTIMAL,423.0,423.0,0.00,0.05
medium_15x4_2,OPTIMAL,438.0,438.0,0.00,0.71
medium_15x4_3,OPTIMAL,339.0,339.0,0.00,0.10
medium_15x4_4,OPTIMAL,365.0,365.0,0.00,0.09
medium_15x4_5,OPTIMAL,369.0,369.0,0.00,0.09
medium_16x2_1,OPTIMAL,877.0,877.0,0.00,0.03
medium_16x2_2,OPTIMAL,786.0,786.0,0.00,0.03
medium_16x2_3,OPTIMAL,845.0,845.0,0.00,0.02
medium_16x2_4,OPTIMAL,876.0,876.0,0.00,0.03
medium_16x2_5,OPTIMAL,823.0,823.0,0.00,0.03
medium_16x3_1,OPTIMAL,553.0,553.0,0.00,0.05
medium_16x3_2,OPTIMAL,555.0,555.0,0.00,0.15
medium_16x3_3,OPTIMAL,593.0,593.0,0.00,0.06
medium_16x3_4,OPTIMAL,640.0,640.0,0.00,0.05
medium_16x3_5,OPTIMAL,604.0,604.0,0.00,0.06
medium_16x4_1,OPTIMAL,417.0,417.0,0.00,0.07
medium_16x4_2,OPTIMAL,383.0,383.0,0.00,0.07
medium_16x4_3,OPTIMAL,431.0,431.0,0.00,0.23
medium_16x4_4,OPTIMAL,432.0,432.0,0.00,0.13
medium_16x4_5,OPTIMAL,398.0,398.0,0.00,0.12
medium_17x2_1,OPTIMAL,812.0,812.0,0.00,0.03
medium_17x2_2,OPTIMAL,898.0,898.0,0.00,0.04
medium_17x2_3,OPTIMAL,922.0,922.0,0.00,0.04
medium_17x2_4,OPTIMAL,948.0,948.0,0.00,0.04
medium_17x2_5,OPTIMAL,1009.0,1009.0,0.00,0.05
medium_17x3_1,OPTIMAL,634.0,634.0,0.00,0.12
medium_17x3_2,OPTIMAL,763.0,763.0,0.00,0.07
medium_17x3_3,OPTIMAL,651.0,651.0,0.00,0.07
medium_17x3_4,OPTIMAL,565.0,565.0,0.00,0.09
medium_17x3_5,OPTIMAL,555.0,555.0,0.00,0.05
medium_17x4_1,OPTIMAL,491.0,491.0,0.00,0.08
medium_17x4_2,OPTIMAL,441.0,441.0,0.00,0.25
medium_17x4_3,OPTIMAL,386.0,386.0,0.00,0.11
medium_17x4_4,OPTIMAL,474.0,474.0,0.00,0.58
medium_17x4_5,OPTIMAL,394.0,394.0,0.00,0.13
medium_18x2_1,OPTIMAL,971.0,971.0,0.00,0.05
medium_18x2_2,OPTIMAL,756.0,756.0,0.00,0.04
medium_18x2_3,OPTIMAL,908.0,908.0,0.00,0.07
medium_18x2_4,OPTIMAL,923.0,923.0,0.00,0.04
medium_18x2_5,OPTIMAL,1035.0,1035.0,0.00,0.05
medium_18x3_1,OPTIMAL,638.0,638.0,0.00,0.05
medium_18x3_2,OPTIMAL,736.0,736.0,0.00,0.06
medium_18x3_3,OPTIMAL,676.0,676.0,0.00,0.07
medium_18x3_4,OPTIMAL,615.0,615.0,0.00,0.06
medium_18x3_5,OPTIMAL,620.0,620.0,0.00,0.05
medium_18x4_1,OPTIMAL,485.0,485.0,0.00,0.32
medium_18x4_2,OPTIMAL,490.0,490.0,0.00,0.09
medium_18x4_3,OPTIMAL,445.0,445.0,0.00,0.13
medium_18x4_4,OPTIMAL,472.0,472.0,0.00,0.29
medium_18x4_5,OPTIMAL,492.0,492.0,0.00,0.23
medium_19x2_1,OPTIMAL,1016.0,1016.0,0.00,0.05
medium_19x2_2,OPTIMAL,979.0,979.0,0.00,0.06
medium_19x2_3,OPTIMAL,982.0,982.0,0.00,0.03
medium_19x2_4,OPTIMAL,1018.0,1018.0,0.00,0.05
medium_19x2_5,OPTIMAL,836.0,836.0,0.00,0.05
medium_19x3_1,OPTIMAL,691.0,691.0,0.00,0.07
medium_19x3_2,OPTIMAL,638.0,638.0,0.00,0.09
medium_19x3_3,OPTIMAL,625.0,625.0,0.00,0.08
medium_19x3_4,OPTIMAL,670.0,670.0,0.00,0.06
medium_19x3_5,OPTIMAL,719.0,719.0,0.00,0.06
medium_19x4_1,OPTIMAL,532.0,532.0,0.00,0.09
medium_19x4_2,OPTIMAL,486.0,486.0,0.00,0.14
medium_19x4_3,OPTIMAL,455.0,455.0,0.00,0.13
medium_19x4_4,OPTIMAL,533.0,533.0,0.00,0.15
medium_19x4_5,OPTIMAL,489.0,489.0,0.00,0.18
medium_20x2_1,OPTIMAL,1021.0,1021.0,0.00,0.03
medium_20x2_2,OPTIMAL,1142.0,1142.0,0.00,0.07
medium_20x2_3,OPTIMAL,942.0,942.0,0.00,0.03
medium_20x2_4,OPTIMAL,1059.0,1059.0,0.00,0.05
medium_20x2_5,OPTIMAL,1103.0,1103.0,0.00,0.05
medium_20x3_1,OPTIMAL,721.0,721.0,0.00,0.07
medium_20x3_2,OPTIMAL,700.0,700.0,0.00,0.07
medium_20x3_3,OPTIMAL,576.0,576.0,0.00,0.07
medium_20x3_4,OPTIMAL,680.0,680.0,0.00,0.09
medium_20x3_5,OPTIMAL,804.0,804.0,0.00,0.08
medium_20x4_1,OPTIMAL,533.0,533.0,0.00,0.12
medium_20x4_2,OPTIMAL,503.0,503.0,0.00,0.12
medium_20x4_3,OPTIMAL,408.0,408.0,0.00,0.17
medium_20x4_4,OPTIMAL,462.0,462.0,0.00,0.09
medium_20x4_5,OPTIMAL,545.0,545.0,0.00,0.15
