Instancia,Status,Makespan,Time,Gap
medium_15x2_1,FEASIBLE,812.0,3600.1010518074036,91.96
medium_15x2_2,FEASIBLE,765.0,3600.522604227066,91.73
medium_15x2_3,FEASIBLE,877.0,3600.2896304130554,97.52
medium_15x2_4,FEASIBLE,784.0,3600.277972459793,108.51
medium_15x2_5,FEASIBLE,674.0,3600.1084172725677,84.15
medium_15x3_1,FEASIBLE,506.0,3600.9467527866364,38.25
medium_15x3_2,FEASIBLE,554.0,3600.6863248348236,42.78
medium_15x3_3,FEASIBLE,628.0,3600.163602590561,55.06
medium_15x3_4,FEASIBLE,572.0,3600.19309258461,43.00
medium_15x3_5,FEASIBLE,599.0,3600.200113296509,47.90
medium_15x4_1,FEASIBLE,436.0,3600.1925814151764,25.29
medium_15x4_2,FEASIBLE,447.0,3602.306425333023,25.92
medium_15x4_3,FEASIBLE,356.0,3600.2878711223602,20.27
medium_15x4_4,FEASIBLE,374.0,3600.26180267334,16.88
medium_15x4_5,FEASIBLE,387.0,3601.22177028656,24.84
medium_16x2_1,FEASIBLE,891.0,3600.147436618805,100.22
medium_16x2_2,FEASIBLE,801.0,3600.290153026581,87.59
medium_16x2_3,FEASIBLE,860.0,3600.142059803009,79.92
medium_16x2_4,FEASIBLE,890.0,3600.1351828575134,93.90
medium_16x2_5,FEASIBLE,835.0,3600.6006128787994,88.91
medium_16x3_1,FEASIBLE,565.0,3602.070745944977,50.27
medium_16x3_2,FEASIBLE,567.0,3600.492532014847,62.00
medium_16x3_3,FEASIBLE,602.0,3601.33017039299,52.02
medium_16x3_4,FEASIBLE,654.0,3600.181142091751,60.29
medium_16x3_5,FEASIBLE,617.0,3600.212767124176,60.68
medium_16x4_1,FEASIBLE,430.0,3600.751564502716,37.38
medium_16x4_2,FEASIBLE,402.0,3600.1840291023254,31.37
medium_16x4_3,FEASIBLE,446.0,3600.669819831848,33.53
medium_16x4_4,FEASIBLE,452.0,3600.2271218299866,36.56
medium_16x4_5,FEASIBLE,408.0,3600.223453760147,30.35
medium_17x2_1,FEASIBLE,825.0,3600.237718105316,100.73
medium_17x2_2,FEASIBLE,912.0,3600.1807572841644,105.41
medium_17x2_3,FEASIBLE,934.0,3600.2594723701477,107.56
medium_17x2_4,FEASIBLE,960.0,3600.1493079662323,107.34
medium_17x2_5,FEASIBLE,1022.0,3600.1394906044006,116.53
medium_17x3_1,FEASIBLE,649.0,3600.193470954895,74.46
medium_17x3_2,FEASIBLE,778.0,3600.2031869888306,68.76
medium_17x3_3,FEASIBLE,664.0,3600.16432762146,71.13
medium_17x3_4,FEASIBLE,580.0,3601.268756389618,65.71
medium_17x3_5,FEASIBLE,566.0,3600.19234085083,60.34
medium_17x4_1,FEASIBLE,509.0,3600.8180499076843,42.98
medium_17x4_2,FEASIBLE,452.0,3601.935515165329,46.28
medium_17x4_3,FEASIBLE,399.0,3600.2553746700287,44.04
medium_17x4_4,FEASIBLE,496.0,3600.7677278518677,52.15
medium_17x4_5,FEASIBLE,405.0,3600.5383162498474,32.79
