Instancia,Status,Makespan,Time,Gap
small_6x2_1,OPTIMAL,327.0,0.09931230545043945,0.00
small_6x2_2,OPTIMAL,272.0,0.06620979309082031,0.00
small_6x2_3,OPTIMAL,219.0,0.07511591911315918,0.00
small_6x2_4,OPTIMAL,211.0,0.07625055313110352,0.00
small_6x2_5,OPTIMAL,325.0,0.09270453453063965,0.00
small_6x3_1,OPTIMAL,218.0,0.10096001625061035,0.00
small_6x3_2,OPTIMAL,231.0,0.1000967025756836,0.00
small_6x3_3,OPTIMAL,149.0,0.10666823387145996,0.00
small_6x3_4,OPTIMAL,176.0,0.08414888381958008,0.00
small_6x3_5,OPTIMAL,152.0,0.1355447769165039,0.00
small_7x2_1,OPTIMAL,318.0,0.3150937557220459,0.00
small_7x2_2,OPTIMAL,280.0,0.4941091537475586,0.00
small_7x2_3,OPTIMAL,299.0,0.45577120780944824,0.00
small_7x2_4,OPTIMAL,276.0,0.33983874320983887,0.00
small_7x2_5,OPTIMAL,294.0,0.37070393562316895,0.00
small_7x3_1,OPTIMAL,214.0,0.19594073295593262,0.00
small_7x3_2,OPTIMAL,206.0,0.16961431503295898,0.00
small_7x3_3,OPTIMAL,253.0,0.21943187713623047,0.00
small_7x3_4,OPTIMAL,239.0,0.17482781410217285,0.00
small_7x3_5,OPTIMAL,219.0,0.3642423152923584,0.00
small_8x2_1,OPTIMAL,375.0,2.5004496574401855,0.00
small_8x2_2,OPTIMAL,285.0,1.889742374420166,0.00
small_8x2_3,OPTIMAL,284.0,1.8570291996002197,0.00
small_8x2_4,OPTIMAL,375.0,2.3381311893463135,0.00
small_8x2_5,OPTIMAL,281.0,2.844236373901367,0.00
small_8x3_1,OPTIMAL,295.0,0.5853431224822998,0.00
small_8x3_2,OPTIMAL,214.0,0.5615155696868896,0.00
small_8x3_3,OPTIMAL,299.0,0.36817097663879395,0.00
small_8x3_4,OPTIMAL,274.0,0.2617204189300537,0.00
small_8x3_5,OPTIMAL,239.0,0.5304996967315674,0.00
small_9x2_1,OPTIMAL,351.0,15.08940601348877,0.00
small_9x2_2,OPTIMAL,401.0,28.42594575881958,0.00
small_9x2_3,OPTIMAL,319.0,25.27817177772522,0.00
small_9x2_4,OPTIMAL,354.0,22.493895769119263,0.00
small_9x2_5,OPTIMAL,341.0,19.965465784072876,0.00
small_9x3_1,OPTIMAL,279.0,3.9928431510925293,0.00
small_9x3_2,OPTIMAL,263.0,2.8439207077026367,0.00
small_9x3_3,OPTIMAL,240.0,2.644427537918091,0.00
small_9x3_4,OPTIMAL,312.0,4.854454278945923,0.00
small_9x3_5,OPTIMAL,234.0,1.833421230316162,0.00
small_10x2_1,OPTIMAL,367.0,231.17002844810486,0.00
small_10x2_2,OPTIMAL,438.0,374.84622049331665,0.00
small_10x2_3,OPTIMAL,466.0,183.0881154537201,0.00
small_10x2_4,OPTIMAL,502.0,195.04464435577393,0.00
small_10x2_5,OPTIMAL,311.0,209.34547090530396,0.00
small_10x3_1,OPTIMAL,354.0,17.73917865753174,0.00
small_10x3_2,OPTIMAL,332.0,21.74138855934143,0.00
small_10x3_3,OPTIMAL,267.0,8.662800788879395,0.00
small_10x3_4,OPTIMAL,351.0,16.672057390213013,0.00
small_10x3_5,OPTIMAL,267.0,18.892086029052734,0.00
small_11x2_1,FEASIBLE,512.0,601.2981553077698,79.02
small_11x2_2,FEASIBLE,457.0,600.766651391983,77.13
small_11x2_3,FEASIBLE,566.0,600.41934466362,69.46
small_11x2_4,FEASIBLE,513.0,600.3966488838196,69.87
small_11x2_5,FEASIBLE,438.0,600.2099590301514,56.99
small_11x3_1,OPTIMAL,303.0,164.64969444274902,0.00
small_11x3_2,OPTIMAL,237.0,27.044312715530396,0.00
small_11x3_3,OPTIMAL,312.0,172.22903537750244,0.00
small_11x3_4,OPTIMAL,361.0,172.568053483963,0.00
small_11x3_5,OPTIMAL,363.0,171.49298739433289,0.00
small_12x2_1,FEASIBLE,536.0,600.3236835002899,79.26
small_12x2_2,FEASIBLE,425.0,600.2118587493896,75.62
small_12x2_3,FEASIBLE,591.0,600.3622674942017,85.85
small_12x2_4,FEASIBLE,550.0,600.4444270133972,89.00
small_12x2_5,FEASIBLE,362.0,600.4018392562866,50.83
small_12x3_1,FEASIBLE,333.0,600.2949233055115,38.75
small_12x3_2,OPTIMAL,242.0,374.642874956131,0.00
small_12x3_3,FEASIBLE,426.0,600.3100361824036,48.43
small_12x3_4,FEASIBLE,373.0,600.4204959869385,53.50
small_12x3_5,FEASIBLE,301.0,600.2262914180756,38.07
