Instancia,Status,Makespan,Time,Gap
small_6x2_1,OPTIMAL,327.0,0.09475088119506836,0.00
small_6x2_2,OPTIMAL,272.0,0.05946493148803711,0.00
small_6x2_3,OPTIMAL,219.0,0.09345364570617676,0.00
small_6x2_4,OPTIMAL,211.0,0.04962635040283203,0.00
small_6x2_5,OPTIMAL,325.0,0.059905290603637695,0.00
small_6x3_1,OPTIMAL,218.0,0.09772634506225586,0.00
small_6x3_2,OPTIMAL,231.0,0.08849143981933594,0.00
small_6x3_3,OPTIMAL,149.0,0.07652878761291504,0.00
small_6x3_4,OPTIMAL,176.0,0.06830024719238281,0.00
small_6x3_5,OPTIMAL,152.0,0.07406902313232422,0.00
small_7x2_1,OPTIMAL,318.0,0.18464279174804688,0.00
small_7x2_2,OPTIMAL,280.0,0.13778018951416016,0.00
small_7x2_3,OPTIMAL,299.0,0.18071484565734863,0.00
small_7x2_4,OPTIMAL,276.0,0.15898871421813965,0.00
small_7x2_5,OPTIMAL,294.0,0.14485979080200195,0.00
small_7x3_1,OPTIMAL,214.0,0.11011171340942383,0.00
small_7x3_2,OPTIMAL,206.0,0.10847258567810059,0.00
small_7x3_3,OPTIMAL,253.0,0.14034295082092285,0.00
small_7x3_4,OPTIMAL,239.0,0.10722184181213379,0.00
small_7x3_5,OPTIMAL,219.0,0.13838505744934082,0.00
small_8x2_1,OPTIMAL,375.0,1.3706262111663818,0.00
small_8x2_2,OPTIMAL,285.0,0.8463859558105469,0.00
small_8x2_3,OPTIMAL,284.0,0.8782138824462891,0.00
small_8x2_4,OPTIMAL,375.0,1.0133304595947266,0.00
small_8x2_5,OPTIMAL,281.0,1.2754778861999512,0.00
small_8x3_1,OPTIMAL,295.0,0.2749366760253906,0.00
small_8x3_2,OPTIMAL,214.0,0.3379218578338623,0.00
small_8x3_3,OPTIMAL,299.0,0.22438836097717285,0.00
small_8x3_4,OPTIMAL,274.0,0.3048281669616699,0.00
small_8x3_5,OPTIMAL,239.0,0.276531457901001,0.00
small_9x2_1,OPTIMAL,351.0,7.472683668136597,0.00
small_9x2_2,OPTIMAL,401.0,11.486058950424194,0.00
small_9x2_3,OPTIMAL,319.0,7.177042722702026,0.00
small_9x2_4,OPTIMAL,354.0,8.84502625465393,0.00
small_9x2_5,OPTIMAL,341.0,7.902703762054443,0.00
small_9x3_1,OPTIMAL,279.0,1.7911319732666016,0.00
small_9x3_2,OPTIMAL,263.0,1.3248968124389648,0.00
small_9x3_3,OPTIMAL,240.0,1.123581886291504,0.00
small_9x3_4,OPTIMAL,312.0,1.5708231925964355,0.00
small_9x3_5,OPTIMAL,234.0,1.115985631942749,0.00
small_10x2_1,OPTIMAL,367.0,169.72445559501648,0.00
small_10x2_2,OPTIMAL,438.0,116.18043637275696,0.00
small_10x2_3,OPTIMAL,466.0,90.4005172252655,0.00
small_10x2_4,OPTIMAL,502.0,136.0398347377777,0.00
small_10x2_5,OPTIMAL,311.0,113.46969532966614,0.00
small_10x3_1,OPTIMAL,354.0,7.49470329284668,0.00
small_10x3_2,OPTIMAL,332.0,10.485520124435425,0.00
small_10x3_3,OPTIMAL,267.0,3.7133066654205322,0.00
small_10x3_4,OPTIMAL,351.0,8.458784580230713,0.00
small_10x3_5,OPTIMAL,267.0,8.278946876525879,0.00
small_11x2_1,OPTIMAL,512.0,1985.962331533432,0.00
small_11x2_2,OPTIMAL,457.0,2604.464378595352,0.00
small_11x2_3,OPTIMAL,566.0,1469.0435729026794,0.00
small_11x3_1,OPTIMAL,303.0,61.86724829673767,0.00
small_11x3_2,OPTIMAL,237.0,8.146708488464355,0.00
small_11x3_3,OPTIMAL,312.0,38.9453649520874,0.00
small_11x3_4,OPTIMAL,361.0,62.53368330001831,0.00
small_11x3_5,OPTIMAL,363.0,54.40222716331482,0.00
small_11x2_4,OPTIMAL,513.0,2166.8181850910187,0.00
small_11x2_5,OPTIMAL,438.0,1066.2065703868866,0.00
small_12x2_1,FEASIBLE,536.0,3600.156596183777,43.32
small_12x2_2,FEASIBLE,425.0,3600.153927564621,37.54
small_12x2_3,FEASIBLE,591.0,3601.5577943325043,41.39
small_12x2_4,FEASIBLE,550.0,3601.310424566269,41.03
small_12x2_5,FEASIBLE,362.0,3600.3896822929382,27.92
small_12x3_1,OPTIMAL,333.0,461.7845633029938,0.00
small_12x3_2,OPTIMAL,242.0,151.24117517471313,0.00
small_12x3_3,OPTIMAL,426.0,1010.6235392093658,0.00
small_12x3_4,OPTIMAL,371.0,764.0692989826202,0.00
small_12x3_5,OPTIMAL,301.0,341.66661739349365,0.00
