Instancia;N;M;Makespan;Tiempo;Estado
large_30x3_1;30;3;1170.0;15.05;OK
large_30x3_2;30;3;905.0;600.24;OK
large_30x3_3;30;3;883.0;600.14;OK
large_30x3_4;30;3;979.0;600.13;OK
large_30x3_5;30;3;1087.0;7.18;OK
large_30x4_1;30;4;805.0;600.31;OK
large_30x4_2;30;4;744.0;600.17;OK
large_30x4_3;30;4;831.0;600.21;OK
large_30x4_4;30;4;0.0;2517.01;TIMEOUT
large_30x4_5;30;4;887.0;600.18;OK
large_30x5_1;30;5;623.0;600.19;OK
large_30x5_2;30;5;692.0;600.24;OK
large_30x5_3;30;5;638.0;600.17;OK
large_30x5_4;30;5;601.0;70.23;OK
large_30x5_5;30;5;0.0;27206.71;TIMEOUT
large_40x3_1;40;3;0.0;40.17;TIMEOUT
large_40x3_2;40;3;0.0;3.85;TIMEOUT
large_40x3_3;40;3;0.0;1.02;TIMEOUT
large_40x3_4;40;3;0.0;1.13;TIMEOUT
large_40x3_5;40;3;0.0;3.34;TIMEOUT
large_40x4_1;40;4;0.0;0.49;TIMEOUT
large_40x4_2;40;4;0.0;0.26;TIMEOUT
large_40x4_3;40;4;0.0;0.37;TIMEOUT
large_40x4_4;40;4;0.0;4.82;TIMEOUT
large_40x4_5;40;4;0.0;0.51;TIMEOUT
large_40x5_1;40;5;0.0;0.05;TIMEOUT
large_40x5_2;40;5;0.0;0.06;TIMEOUT
large_40x5_3;40;5;0.0;0.03;TIMEOUT
large_40x5_4;40;5;0.0;0.03;TIMEOUT
large_40x5_5;40;5;0.0;0.04;TIMEOUT
large_50x3_1;50;3;0.0;0.02;TIMEOUT
large_50x3_2;50;3;0.0;0.02;TIMEOUT
large_50x3_3;50;3;0.0;0.03;TIMEOUT
large_50x3_4;50;3;0.0;0.01;TIMEOUT
large_50x3_5;50;3;0.0;0.03;TIMEOUT
