Instancia;N;M;Makespan;Tiempo;Estado
medium_15x2_1;15;2;799.0;0.08;OK
medium_15x2_2;15;2;754.0;16.17;OK
medium_15x2_3;15;2;863.0;8.32;OK
medium_15x2_4;15;2;772.0;0.08;OK
medium_15x2_5;15;2;662.0;32.49;OK
medium_15x3_1;15;3;495.0;39.02;OK
medium_15x3_2;15;3;545.0;109.60;OK
medium_15x3_3;15;3;612.0;55.90;OK
medium_15x3_4;15;3;563.0;20.68;OK
medium_15x3_5;15;3;590.0;58.87;OK
medium_15x4_1;15;4;423.0;243.28;OK
medium_15x4_2;15;4;438.0;89.56;OK
medium_15x4_3;15;4;339.0;110.39;OK
medium_15x4_4;15;4;365.0;157.75;OK
medium_15x4_5;15;4;369.0;56.79;OK
medium_16x2_1;16;2;877.0;1.49;OK
medium_16x2_2;16;2;786.0;1.05;OK
medium_16x2_3;16;2;845.0;0.94;OK
medium_16x2_4;16;2;876.0;1.64;OK
medium_16x2_5;16;2;823.0;17.14;OK
medium_16x3_1;16;3;553.0;3.24;OK
medium_16x3_2;16;3;555.0;12.59;OK
medium_16x3_3;16;3;593.0;174.54;OK
medium_16x3_4;16;3;640.0;32.76;OK
medium_16x3_5;16;3;604.0;218.63;OK
medium_16x4_1;16;4;417.0;566.11;OK
medium_16x4_2;16;4;383.0;231.93;OK
medium_16x4_3;16;4;431.0;145.35;OK
medium_16x4_4;16;4;0.0;5510.41;TIMEOUT
medium_16x4_5;16;4;398.0;171.06;OK
medium_17x2_1;17;2;812.0;0.16;OK
medium_17x2_2;17;2;898.0;2.19;OK
medium_17x2_3;17;2;922.0;32.34;OK
medium_17x2_4;17;2;948.0;76.34;OK
medium_17x2_5;17;2;1009.0;65.89;OK
medium_17x3_1;17;3;634.0;12.82;OK
medium_17x3_2;17;3;0.0;8691.75;TIMEOUT
medium_17x3_3;17;3;0.0;9602.19;TIMEOUT
medium_17x3_4;17;3;565.0;7.83;OK
medium_17x3_5;17;3;0.0;4045.01;TIMEOUT
medium_17x4_1;17;4;0.0;13.08;TIMEOUT
medium_17x4_2;17;4;0.0;1.34;TIMEOUT
medium_17x4_3;17;4;0.0;1.27;TIMEOUT
medium_17x4_4;17;4;0.0;0.45;TIMEOUT
medium_17x4_5;17;4;0.0;0.90;TIMEOUT
medium_18x2_1;18;2;0.0;0.11;TIMEOUT
medium_18x2_2;18;2;0.0;0.31;TIMEOUT
medium_18x2_3;18;2;0.0;0.29;TIMEOUT
medium_18x2_4;18;2;0.0;0.02;TIMEOUT
medium_18x2_5;18;2;0.0;0.21;TIMEOUT
medium_18x3_1;18;3;0.0;0.28;TIMEOUT
medium_18x3_2;18;3;736.0;0.23;OK
medium_18x3_3;18;3;0.0;0.25;TIMEOUT
medium_18x3_4;18;3;0.0;0.39;TIMEOUT
medium_18x3_5;18;3;0.0;0.42;TIMEOUT
medium_18x4_1;18;4;0.0;0.17;TIMEOUT
medium_18x4_2;18;4;0.0;0.67;TIMEOUT
medium_18x4_3;18;4;0.0;2.65;TIMEOUT
medium_18x4_4;18;4;0.0;0.33;TIMEOUT
medium_18x4_5;18;4;0.0;0.39;TIMEOUT
medium_19x2_1;19;2;0.0;0.33;TIMEOUT
medium_19x2_2;19;2;979.0;0.13;OK
medium_19x2_3;19;2;0.0;0.27;TIMEOUT
medium_19x2_4;19;2;1018.0;0.16;OK
medium_19x2_5;19;2;0.0;0.00;TIMEOUT
medium_19x3_1;19;3;0.0;0.28;TIMEOUT
medium_19x3_2;19;3;0.0;0.30;TIMEOUT
medium_19x3_3;19;3;0.0;0.26;TIMEOUT
medium_19x3_4;19;3;0.0;0.28;TIMEOUT
medium_19x3_5;19;3;0.0;0.29;TIMEOUT
medium_19x4_1;19;4;0.0;0.33;TIMEOUT
medium_19x4_2;19;4;0.0;0.41;TIMEOUT
medium_19x4_3;19;4;0.0;0.29;TIMEOUT
medium_19x4_4;19;4;0.0;0.27;TIMEOUT
medium_19x4_5;19;4;0.0;0.42;TIMEOUT
medium_20x2_1;20;2;0.0;0.33;TIMEOUT
medium_20x2_2;20;2;0.0;0.28;TIMEOUT
medium_20x2_3;20;2;0.0;0.26;TIMEOUT
medium_20x2_4;20;2;0.0;0.26;TIMEOUT
medium_20x2_5;20;2;0.0;0.36;TIMEOUT
medium_20x3_1;20;3;0.0;0.31;TIMEOUT
medium_20x3_2;20;3;0.0;0.31;TIMEOUT
medium_20x3_3;20;3;0.0;0.35;TIMEOUT
medium_20x3_4;20;3;0.0;0.39;TIMEOUT
medium_20x3_5;20;3;0.0;0.35;TIMEOUT
medium_20x4_1;20;4;0.0;0.29;TIMEOUT
medium_20x4_2;20;4;0.0;0.42;TIMEOUT
medium_20x4_3;20;4;0.0;0.37;TIMEOUT
medium_20x4_4;20;4;0.0;0.28;TIMEOUT
medium_20x4_5;20;4;0.0;0.38;TIMEOUT
