====================================================================================================
RESUMEN RESULTADOS HEURÍSTICOS - MEDIUM
====================================================================================================
Tamaño (NxM)    | Muestras   | Avg LB     | Avg MK     | Avg GAP %    | Avg Time  
----------------------------------------------------------------------------------------------------
15 x 2           | 5          | 770.0      | 782.6      | 1.65         | 16.61     
15 x 3           | 5          | 561.0      | 573.6      | 2.23         | 25.18     
15 x 4           | 5          | 386.2      | 404.8      | 4.84         | 32.44     
16 x 2           | 5          | 841.4      | 856.2      | 1.76         | 15.66     
16 x 3           | 5          | 589.0      | 602.6      | 2.32         | 31.10     
16 x 4           | 5          | 412.0      | 429.2      | 4.17         | 35.26     
17 x 2           | 5          | 917.8      | 932.1      | 1.56         | 9.20      
17 x 3           | 5          | 633.6      | 648.8      | 2.40         | 13.28     
17 x 4           | 5          | 437.2      | 455.6      | 4.21         | 17.02     
18 x 2           | 5          | 918.6      | 935.4      | 1.84         | 9.39      
18 x 3           | 5          | 657.0      | 672.1      | 2.30         | 13.27     
18 x 4           | 5          | 476.8      | 493.2      | 3.45         | 19.61     
19 x 2           | 5          | 966.2      | 980.7      | 1.51         | 10.39     
19 x 3           | 5          | 668.6      | 683.2      | 2.19         | 15.73     
19 x 4           | 5          | 499.0      | 517.0      | 3.59         | 24.01     
20 x 2           | 5          | 1053.4     | 1071.5     | 1.73         | 12.23     
20 x 3           | 5          | 696.2      | 710.9      | 2.09         | 17.77     
20 x 4           | 5          | 490.2      | 505.5      | 3.14         | 22.43     
====================================================================================================
