====================================================================================================
RESUMEN RESULTADOS HEURÍSTICOS - MEDIUM
====================================================================================================
Tamaño (NxM)    | Muestras   | Avg LB     | Avg MK     | Avg GAP %    | Avg Time  
----------------------------------------------------------------------------------------------------
15 x 2           | 5          | 770.0      | 783.4      | 1.74         | 13.52     
15 x 3           | 5          | 561.0      | 574.7      | 2.42         | 24.97     
15 x 4           | 5          | 386.2      | 404.2      | 4.67         | 28.70     
16 x 2           | 5          | 841.4      | 856.9      | 1.85         | 14.35     
16 x 3           | 5          | 589.0      | 602.5      | 2.30         | 31.41     
16 x 4           | 5          | 412.0      | 429.6      | 4.28         | 33.56     
17 x 2           | 5          | 917.8      | 932.8      | 1.64         | 27.08     
17 x 3           | 5          | 633.6      | 648.7      | 2.39         | 30.29     
17 x 4           | 5          | 437.2      | 455.8      | 4.24         | 36.25     
18 x 2           | 5          | 918.6      | 935.4      | 1.83         | 19.66     
18 x 3           | 5          | 657.0      | 672.0      | 2.29         | 83.60     
18 x 4           | 5          | 476.8      | 493.0      | 3.39         | 44.36     
19 x 2           | 5          | 966.2      | 980.9      | 1.53         | 17.15     
19 x 3           | 5          | 668.6      | 683.1      | 2.17         | 29.01     
19 x 4           | 5          | 499.0      | 516.7      | 3.52         | 68.72     
20 x 2           | 5          | 1053.4     | 1071.7     | 1.74         | 27.37     
20 x 3           | 5          | 696.2      | 710.6      | 2.07         | 34.50     
20 x 4           | 5          | 490.2      | 505.4      | 3.11         | 52.52     
====================================================================================================
