================================================================================
RESULTADOS EXACTOS (HARD TIMEOUT) - MEDIUM
================================================================================
Tamaño          | Muestras   | Avg MK          | Avg Time       
--------------------------------------------------------------------------------
15 x 2           | 5          | 770.00          | 12.80          
15 x 3           | 5          | 561.00          | 63.96          
15 x 4           | 5          | 386.80          | 227.63         
16 x 2           | 5          | 841.40          | 5.42           
16 x 3           | 5          | 589.00          | 104.27         
16 x 4           | 5          | 404.00          | 222.89         
17 x 2           | 5          | 917.80          | 42.40          
17 x 3           | 5          | 616.67          | 31.53          
17 x 4           | 5          | 390.00          | 226.85         
18 x 2           | 5          | 918.60          | 55.09          
18 x 3           | 5          | 661.75          | 219.39         
18 x 4           | 5          | 485.00          | 15.18          
19 x 2           | 5          | 962.25          | 103.01         
19 x 3           | 5          | 654.00          | 207.89         
19 x 4           | 5          | 487.50          | 592.76         
20 x 2           | 5          | 1053.40         | 233.45         
20 x 3           | 5          | 710.50          | 8.16           
20 x 4           | 5          | TIMEOUT         | > LIMIT        
