Instancia,Status,Makespan,LB,GAP,Tiempo
large_30x3_1,OPTIMAL,1170.0,1170.0,0.00,0.21
large_30x3_2,OPTIMAL,905.0,905.0,0.00,0.18
large_30x3_3,OPTIMAL,883.0,883.0,0.00,0.10
large_30x3_4,OPTIMAL,979.0,979.0,0.00,0.12
large_30x3_5,OPTIMAL,1087.0,1087.0,0.00,0.26
large_30x4_1,OPTIMAL,805.0,805.0,0.00,0.31
large_30x4_2,OPTIMAL,744.0,744.0,0.00,0.24
large_30x4_3,OPTIMAL,831.0,831.0,0.00,0.20
large_30x4_4,OPTIMAL,757.0,757.0,0.00,0.29
large_30x4_5,OPTIMAL,887.0,887.0,0.00,0.30
large_30x5_1,OPTIMAL,623.0,623.0,0.00,0.49
large_30x5_2,OPTIMAL,692.0,692.0,0.00,0.45
large_30x5_3,OPTIMAL,638.0,638.0,0.00,0.47
large_30x5_4,OPTIMAL,601.0,601.0,0.00,0.56
large_30x5_5,OPTIMAL,671.0,671.0,0.00,0.56
large_40x3_1,OPTIMAL,1285.0,1285.0,0.00,0.31
large_40x3_2,OPTIMAL,1415.0,1415.0,0.00,0.31
large_40x3_3,OPTIMAL,1441.0,1441.0,0.00,0.26
large_40x3_4,OPTIMAL,1343.0,1343.0,0.00,0.26
large_40x3_5,OPTIMAL,1300.0,1300.0,0.00,0.26
large_40x4_1,OPTIMAL,1078.0,1078.0,0.00,0.27
large_40x4_2,OPTIMAL,1116.0,1116.0,0.00,0.48
large_40x4_3,OPTIMAL,1087.0,1087.0,0.00,0.75
large_40x4_4,OPTIMAL,1090.0,1090.0,0.00,0.29
large_40x4_5,OPTIMAL,1172.0,1172.0,0.00,0.31
large_40x5_1,OPTIMAL,896.0,896.0,0.00,0.56
large_40x5_2,OPTIMAL,993.0,993.0,0.00,0.57
large_40x5_3,OPTIMAL,896.0,896.0,0.00,0.38
large_40x5_4,OPTIMAL,820.0,820.0,0.00,0.65
large_40x5_5,OPTIMAL,909.0,909.0,0.00,0.41
large_50x3_1,OPTIMAL,1559.0,1559.0,0.00,0.49
large_50x3_2,OPTIMAL,1678.0,1678.0,0.00,0.61
large_50x3_3,OPTIMAL,1831.0,1831.0,0.00,0.39
large_50x3_4,OPTIMAL,1734.0,1734.0,0.00,0.33
large_50x3_5,OPTIMAL,1721.0,1721.0,0.00,0.49
large_50x4_1,OPTIMAL,1326.0,1326.0,0.00,0.56
large_50x4_2,OPTIMAL,1393.0,1393.0,0.00,0.90
large_50x4_3,OPTIMAL,1229.0,1229.0,0.00,0.52
large_50x4_4,OPTIMAL,1289.0,1289.0,0.00,1.16
large_50x4_5,OPTIMAL,1212.0,1212.0,0.00,0.73
large_50x5_1,OPTIMAL,1038.0,1038.0,0.00,1.15
large_50x5_2,OPTIMAL,1077.0,1077.0,0.00,1.48
large_50x5_3,OPTIMAL,1028.0,1028.0,0.00,1.75
large_50x5_4,OPTIMAL,1090.0,1090.0,0.00,1.43
large_50x5_5,OPTIMAL,1067.0,1067.0,0.00,1.18
large_60x3_1,OPTIMAL,2166.0,2166.0,0.00,0.72
large_60x3_2,OPTIMAL,2068.0,2068.0,0.00,0.58
large_60x3_3,OPTIMAL,2247.0,2247.0,0.00,0.58
large_60x3_4,OPTIMAL,2037.0,2037.0,0.00,0.83
large_60x3_5,OPTIMAL,2230.0,2230.0,0.00,0.43
large_60x4_1,OPTIMAL,1480.0,1480.0,0.00,0.98
large_60x4_2,OPTIMAL,1641.0,1641.0,0.00,1.35
large_60x4_3,OPTIMAL,1676.0,1676.0,0.00,0.87
large_60x4_4,OPTIMAL,1441.0,1441.0,0.00,0.78
large_60x4_5,OPTIMAL,1626.0,1626.0,0.00,1.17
large_60x5_1,OPTIMAL,1177.0,1177.0,0.00,1.02
large_60x5_2,OPTIMAL,1291.0,1291.0,0.00,1.02
large_60x5_3,OPTIMAL,1148.0,1148.0,0.00,2.42
large_60x5_4,OPTIMAL,1308.0,1308.0,0.00,1.06
large_60x5_5,OPTIMAL,1222.0,1222.0,0.00,0.90
large_70x3_1,OPTIMAL,2374.0,2374.0,0.00,0.80
large_70x3_2,OPTIMAL,2511.0,2511.0,0.00,0.68
large_70x3_3,OPTIMAL,2310.0,2310.0,0.00,0.62
large_70x3_4,OPTIMAL,2424.0,2424.0,0.00,0.61
large_70x3_5,OPTIMAL,2565.0,2565.0,0.00,0.60
large_70x4_1,OPTIMAL,1903.0,1903.0,0.00,1.04
large_70x4_2,OPTIMAL,1891.0,1891.0,0.00,1.26
large_70x4_3,OPTIMAL,1704.0,1704.0,0.00,0.93
large_70x4_4,OPTIMAL,1829.0,1829.0,0.00,1.24
large_70x4_5,OPTIMAL,1876.0,1876.0,0.00,0.92
large_70x5_1,OPTIMAL,1489.0,1489.0,0.00,1.30
large_70x5_2,OPTIMAL,1434.0,1434.0,0.00,1.84
large_70x5_3,OPTIMAL,1326.0,1326.0,0.00,1.51
large_70x5_4,OPTIMAL,1493.0,1493.0,0.00,1.35
large_70x5_5,OPTIMAL,1515.0,1515.0,0.00,1.34
