
=== METAHEURÍSTICA | SIZE: LARGE | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
-------------------------------------------------------------------------------------
large_30x3_1           | 1193.0     | 57.74      | 1170.0   | 1.97    
large_30x3_2           | 928.2      | 50.42      | 905.0    | 2.56    
large_30x3_3           | 906.8      | 47.87      | 883.0    | 2.70    
large_30x3_4           | 1002.0     | 36.11      | 979.0    | 2.35    
large_30x3_5           | 1105.2     | 79.31      | 1087.0   | 1.67    
large_30x4_1           | 826.6      | 74.15      | 805.0    | 2.68    
large_30x4_2           | 757.8      | 80.80      | 744.0    | 1.85    
large_30x4_3           | 850.4      | 74.38      | 831.0    | 2.33    
large_30x4_4           | 779.6      | 67.58      | 757.0    | 2.99    
large_30x4_5           | 901.6      | 65.09      | 887.0    | 1.65    
large_30x5_1           | 637.8      | 68.26      | 623.0    | 2.38    
large_30x5_2           | 711.2      | 86.97      | 692.0    | 2.77    
large_30x5_3           | 652.8      | 80.66      | 638.0    | 2.32    
large_30x5_4           | 619.2      | 89.62      | 601.0    | 3.03    
large_30x5_5           | 689.2      | 78.17      | 671.0    | 2.71    
large_40x3_1           | 1317.8     | 79.04      | 1285.0   | 2.55    
large_40x3_2           | 1448.4     | 94.57      | 1415.0   | 2.36    
large_40x3_3           | 1475.4     | 116.41     | 1441.0   | 2.39    
large_40x3_4           | 1375.6     | 128.90     | 1343.0   | 2.43    
large_40x3_5           | 1329.0     | 119.74     | 1300.0   | 2.23    
large_40x4_1           | 1100.4     | 125.56     | 1078.0   | 2.08    
large_40x4_2           | 1144.0     | 160.64     | 1116.0   | 2.51    
large_40x4_3           | 1111.6     | 151.68     | 1087.0   | 2.26    
large_40x4_4           | 1115.4     | 189.18     | 1090.0   | 2.33    
large_40x4_5           | 1203.6     | 148.85     | 1172.0   | 2.70    
large_40x5_1           | 921.0      | 130.37     | 896.0    | 2.79    
large_40x5_2           | 1017.4     | 180.41     | 993.0    | 2.46    
large_40x5_3           | 914.0      | 238.47     | 896.0    | 2.01    
large_40x5_4           | 842.2      | 222.37     | 820.0    | 2.71    
large_40x5_5           | 932.6      | 151.74     | 909.0    | 2.60    
large_50x3_1           | 1608.4     | 153.09     | 1559.0   | 3.17    
large_50x3_2           | 1723.8     | 142.90     | 1678.0   | 2.73    
large_50x3_3           | 1868.2     | 165.45     | 1831.0   | 2.03    
large_50x3_4           | 1780.8     | 205.78     | 1734.0   | 2.70    
large_50x3_5           | 1765.6     | 127.87     | 1721.0   | 2.59    
large_50x4_1           | 1357.6     | 241.89     | 1326.0   | 2.38    
large_50x4_2           | 1426.0     | 255.64     | 1393.0   | 2.37    
large_50x4_3           | 1260.6     | 248.68     | 1229.0   | 2.57    
large_50x4_4           | 1324.4     | 227.94     | 1289.0   | 2.75    
large_50x4_5           | 1244.8     | 322.08     | 1212.0   | 2.71    
large_50x5_1           | 1065.8     | 304.38     | 1038.0   | 2.68    
large_50x5_2           | 1107.2     | 210.74     | 1077.0   | 2.80    
large_50x5_3           | 1054.0     | 270.05     | 1028.0   | 2.53    
large_50x5_4           | 1122.6     | 264.13     | 1090.0   | 2.99    
large_50x5_5           | 1095.6     | 305.26     | 1067.0   | 2.68    
large_60x3_1           | 2216.8     | 303.21     | 2166.0   | 2.35    
large_60x3_2           | 2122.2     | 240.43     | 2068.0   | 2.62    
large_60x3_3           | 2305.0     | 280.97     | 2247.0   | 2.58    
large_60x3_4           | 2085.6     | 244.91     | 2037.0   | 2.39    
large_60x3_5           | 2279.0     | 336.23     | 2230.0   | 2.20    
large_60x4_1           | 1523.0     | 349.21     | 1480.0   | 2.91    
large_60x4_2           | 1684.4     | 457.94     | 1641.0   | 2.64    
large_60x4_3           | 1718.2     | 368.78     | 1676.0   | 2.52    
large_60x4_4           | 1489.0     | 388.37     | 1441.0   | 3.33    
large_60x4_5           | 1671.4     | 360.37     | 1626.0   | 2.79    
large_60x5_1           | 1210.0     | 411.52     | 1177.0   | 2.80    
large_60x5_2           | 1330.6     | 393.03     | 1291.0   | 3.07    
large_60x5_3           | 1184.8     | 566.34     | 1148.0   | 3.21    
large_60x5_4           | 1345.0     | 346.06     | 1308.0   | 2.83    
large_60x5_5           | 1255.4     | 367.14     | 1222.0   | 2.73    
large_70x3_1           | 2444.2     | 314.98     | 2374.0   | 2.96    
large_70x3_2           | 2571.2     | 376.66     | 2511.0   | 2.40    
large_70x3_3           | 2375.8     | 539.81     | 2310.0   | 2.85    
large_70x3_4           | 2485.6     | 477.05     | 2424.0   | 2.54    
large_70x3_5           | 2632.2     | 368.14     | 2565.0   | 2.62    
large_70x4_1           | 1957.8     | 615.70     | 1903.0   | 2.88    
large_70x4_2           | 1947.2     | 547.50     | 1891.0   | 2.97    
large_70x4_3           | 1761.2     | 442.53     | 1704.0   | 3.36    
large_70x4_4           | 1884.6     | 345.46     | 1829.0   | 3.04    
large_70x4_5           | 1931.0     | 618.37     | 1876.0   | 2.93    
large_70x5_1           | 1533.4     | 626.69     | 1489.0   | 2.98    
large_70x5_2           | 1477.0     | 640.59     | 1434.0   | 3.00    
large_70x5_3           | 1371.8     | 422.15     | 1326.0   | 3.45    
large_70x5_4           | 1536.0     | 724.62     | 1493.0   | 2.88    
large_70x5_5           | 1564.6     | 557.44     | 1515.0   | 3.27    
