Instancia,Status,Makespan,Time,Gap
medium_15x2_1,FEASIBLE,812.0,3600,91.96
medium_15x2_2,FEASIBLE,765.0,3600,91.73
medium_15x2_3,FEASIBLE,877.0,3600,97.52
medium_15x2_4,FEASIBLE,784.0,3600,108.51
medium_15x2_5,FEASIBLE,674.0,3600,84.15
medium_15x3_1,FEASIBLE,506.0,3600,38.25
medium_15x3_2,FEASIBLE,554.0,3600,42.78
medium_15x3_3,FEASIBLE,628.0,3600,55.06
medium_15x3_4,FEASIBLE,572.0,3600,43.00
medium_15x3_5,FEASIBLE,599.0,3600,47.90
medium_15x4_1,FEASIBLE,436.0,3600,25.29
medium_15x4_2,FEASIBLE,447.0,3600,25.92
medium_15x4_3,FEASIBLE,356.0,3600,20.27
medium_15x4_4,FEASIBLE,374.0,3600,16.88
medium_15x4_5,FEASIBLE,387.0,3600,24.84
medium_16x2_1,FEASIBLE,891.0,3600,100.22
medium_16x2_2,FEASIBLE,801.0,3600,87.59
medium_16x2_3,FEASIBLE,860.0,3600,79.92
medium_16x2_4,FEASIBLE,890.0,3600,93.90
medium_16x2_5,FEASIBLE,835.0,3600,88.91
medium_16x3_1,FEASIBLE,565.0,3600,50.27
medium_16x3_2,FEASIBLE,567.0,3600,62.00
medium_16x3_3,FEASIBLE,602.0,3600,52.02
medium_16x3_4,FEASIBLE,654.0,3600,60.29
medium_16x3_5,FEASIBLE,617.0,3600,60.68
medium_16x4_1,FEASIBLE,430.0,3600,37.38
medium_16x4_2,FEASIBLE,402.0,3600,31.37
medium_16x4_3,FEASIBLE,446.0,3600,33.53
medium_16x4_4,FEASIBLE,452.0,3600,36.56
medium_16x4_5,FEASIBLE,408.0,3600,30.35
medium_17x2_1,FEASIBLE,825.0,3600,100.73
medium_17x2_2,FEASIBLE,912.0,3600,105.41
medium_17x2_3,FEASIBLE,934.0,3609,107.56
medium_17x2_4,FEASIBLE,960.0,3600,107.34
medium_17x2_5,FEASIBLE,1022.0,3600,116.53
medium_17x3_1,FEASIBLE,649.0,3600,74.46
medium_17x3_2,FEASIBLE,778.0,3600,68.76
medium_17x3_3,FEASIBLE,664.0,3600,71.13
medium_17x3_4,FEASIBLE,580.0,3601,65.71
medium_17x3_5,FEASIBLE,566.0,3600,60.34
medium_17x4_1,FEASIBLE,509.0,3600,42.98
medium_17x4_2,FEASIBLE,452.0,3601,46.28
medium_17x4_3,FEASIBLE,399.0,3600,44.04
medium_17x4_4,FEASIBLE,496.0,3600,52.15
medium_17x4_5,FEASIBLE,405.0,3600,32.79
medium_18x2_1,FEASIBLE,989.0,3600,117.36
medium_18x2_2,FEASIBLE,771.0,3600,106.15
medium_18x2_3,FEASIBLE,920.0,3600,109.57
medium_18x2_4,FEASIBLE,941.0,3600,113.86
medium_18x2_5,FEASIBLE,1052.0,3600,118.71
medium_18x3_1,FEASIBLE,652.0,3600,79.61
medium_18x3_2,FEASIBLE,753.0,3600,85.01
medium_18x3_3,FEASIBLE,688.0,3600,82.01
medium_18x3_4,FEASIBLE,629.0,3600,71.86
medium_18x3_5,FEASIBLE,633.0,3600,74.38
medium_18x4_1,FEASIBLE,499.0,3600,60.45
medium_18x4_2,FEASIBLE,503.0,3600,91.25
medium_18x4_3,FEASIBLE,462.0,3600,45.28
medium_18x4_4,FEASIBLE,484.0,3600,56.63
medium_18x4_5,FEASIBLE,510.0,3600,71.14
medium_19x2_1,FEASIBLE,1029.0,3600,129.18
medium_19x2_2,FEASIBLE,992.0,3600,119.47
medium_19x2_3,FEASIBLE,993.0,3600,131.47
medium_19x2_4,FEASIBLE,1032.0,3600,131.39
medium_19x2_5,FEASIBLE,850.0,3600,126.06
medium_19x3_1,FEASIBLE,707.0,3600,80.82
medium_19x3_2,FEASIBLE,652.0,3600,84.18
medium_19x3_3,FEASIBLE,640.0,3600,77.29
medium_19x3_4,FEASIBLE,686.0,3601,94.33
medium_19x3_5,FEASIBLE,736.0,3600,98.92
medium_19x4_1,FEASIBLE,547.0,3600,54.08
medium_19x4_2,FEASIBLE,499.0,3600,58.41
medium_19x4_3,FEASIBLE,468.0,3601,56.52
medium_19x4_4,FEASIBLE,555.0,3600,68.18
medium_19x4_5,FEASIBLE,506.0,3600,60.63
medium_20x2_1,FEASIBLE,1041.0,3600,146.10
medium_20x2_2,FEASIBLE,1159.0,3600,140.96
medium_20x2_3,FEASIBLE,963.0,3600,141.35
medium_20x2_4,FEASIBLE,1080.0,3600,142.15
medium_20x2_5,FEASIBLE,1122.0,3600,136.21
medium_20x3_1,FEASIBLE,734.0,3600,96.26
medium_20x3_2,FEASIBLE,720.0,3600,100.56
medium_20x3_3,FEASIBLE,585.0,3600,88.10
medium_20x3_4,FEASIBLE,694.0,3600,98.85
medium_20x3_5,FEASIBLE,821.0,3600,98.31
medium_20x4_1,FEASIBLE,546.0,3601,73.89
medium_20x4_2,FEASIBLE,516.0,3600,84.95
medium_20x4_3,FEASIBLE,425.0,3600,62.21
medium_20x4_4,FEASIBLE,480.0,3600,64.95
medium_20x4_5,FEASIBLE,561.0,3600,74.77
