=== EJECUCIÓN EXACTO | TAMAÑO: medium | Límite: 600s ===
Instancia: medium_15x2_1        | MK:    799.0 | T:    0.08s | OK
Instancia: medium_15x2_2        | MK:    754.0 | T:   16.17s | OK
Instancia: medium_15x2_3        | MK:    863.0 | T:    8.32s | OK
Instancia: medium_15x2_4        | MK:    772.0 | T:    0.08s | OK
Instancia: medium_15x2_5        | MK:    662.0 | T:   32.49s | OK
Instancia: medium_15x3_1        | MK:    495.0 | T:   39.02s | OK
Instancia: medium_15x3_2        | MK:    545.0 | T:  109.60s | OK
Instancia: medium_15x3_3        | MK:    612.0 | T:   55.90s | OK
Instancia: medium_15x3_4        | MK:    563.0 | T:   20.68s | OK
Instancia: medium_15x3_5        | MK:    590.0 | T:   58.87s | OK
Instancia: medium_15x4_1        | MK:    423.0 | T:  243.28s | OK
Instancia: medium_15x4_2        | MK:    438.0 | T:   89.56s | OK
Instancia: medium_15x4_3        | MK:    339.0 | T:  110.39s | OK
Instancia: medium_15x4_4        | MK:    365.0 | T:  157.75s | OK
Instancia: medium_15x4_5        | MK:    369.0 | T:   56.79s | OK
Instancia: medium_16x2_1        | MK:    877.0 | T:    1.49s | OK
Instancia: medium_16x2_2        | MK:    786.0 | T:    1.05s | OK
Instancia: medium_16x2_3        | MK:    845.0 | T:    0.94s | OK
Instancia: medium_16x2_4        | MK:    876.0 | T:    1.64s | OK
Instancia: medium_16x2_5        | MK:    823.0 | T:   17.14s | OK
Instancia: medium_16x3_1        | MK:    553.0 | T:    3.24s | OK
Instancia: medium_16x3_2        | MK:    555.0 | T:   12.59s | OK
Instancia: medium_16x3_3        | MK:    593.0 | T:  174.54s | OK
Instancia: medium_16x3_4        | MK:    640.0 | T:   32.76s | OK
Instancia: medium_16x3_5        | MK:    604.0 | T:  218.63s | OK
Instancia: medium_16x4_1        | MK:    417.0 | T:  566.11s | OK
Instancia: medium_16x4_2        | MK:    383.0 | T:  231.93s | OK
Instancia: medium_16x4_3        | MK:    431.0 | T:  145.35s | OK
Instancia: medium_16x4_4        | MK:      0.0 | T: 5510.41s | TIMEOUT
Instancia: medium_16x4_5        | MK:    398.0 | T:  171.06s | OK
Instancia: medium_17x2_1        | MK:    812.0 | T:    0.16s | OK
Instancia: medium_17x2_2        | MK:    898.0 | T:    2.19s | OK
Instancia: medium_17x2_3        | MK:    922.0 | T:   32.34s | OK
Instancia: medium_17x2_4        | MK:    948.0 | T:   76.34s | OK
Instancia: medium_17x2_5        | MK:   1009.0 | T:   65.89s | OK
Instancia: medium_17x3_1        | MK:    634.0 | T:   12.82s | OK
Instancia: medium_17x3_2        | MK:      0.0 | T: 8691.75s | TIMEOUT
Instancia: medium_17x3_3        | MK:      0.0 | T: 9602.19s | TIMEOUT
Instancia: medium_17x3_4        | MK:    565.0 | T:    7.83s | OK
Instancia: medium_17x3_5        | MK:      0.0 | T: 4045.01s | TIMEOUT
Instancia: medium_17x4_1        | MK:      0.0 | T:   13.08s | TIMEOUT
Instancia: medium_17x4_2        | MK:      0.0 | T:    1.34s | TIMEOUT
Instancia: medium_17x4_3        | MK:      0.0 | T:    1.27s | TIMEOUT
Instancia: medium_17x4_4        | MK:      0.0 | T:    0.45s | TIMEOUT
Instancia: medium_17x4_5        | MK:      0.0 | T:    0.90s | TIMEOUT
Instancia: medium_18x2_1        | MK:      0.0 | T:    0.11s | TIMEOUT
Instancia: medium_18x2_2        | MK:      0.0 | T:    0.31s | TIMEOUT
Instancia: medium_18x2_3        | MK:      0.0 | T:    0.29s | TIMEOUT
Instancia: medium_18x2_4        | MK:      0.0 | T:    0.02s | TIMEOUT
Instancia: medium_18x2_5        | MK:      0.0 | T:    0.21s | TIMEOUT
Instancia: medium_18x3_1        | MK:      0.0 | T:    0.28s | TIMEOUT
Instancia: medium_18x3_2        | MK:    736.0 | T:    0.23s | OK
Instancia: medium_18x3_3        | MK:      0.0 | T:    0.25s | TIMEOUT
Instancia: medium_18x3_4        | MK:      0.0 | T:    0.39s | TIMEOUT
Instancia: medium_18x3_5        | MK:      0.0 | T:    0.42s | TIMEOUT
Instancia: medium_18x4_1        | MK:      0.0 | T:    0.17s | TIMEOUT
Instancia: medium_18x4_2        | MK:      0.0 | T:    0.67s | TIMEOUT
Instancia: medium_18x4_3        | MK:      0.0 | T:    2.65s | TIMEOUT
Instancia: medium_18x4_4        | MK:      0.0 | T:    0.33s | TIMEOUT
Instancia: medium_18x4_5        | MK:      0.0 | T:    0.39s | TIMEOUT
Instancia: medium_19x2_1        | MK:      0.0 | T:    0.33s | TIMEOUT
Instancia: medium_19x2_2        | MK:    979.0 | T:    0.13s | OK
Instancia: medium_19x2_3        | MK:      0.0 | T:    0.27s | TIMEOUT
Instancia: medium_19x2_4        | MK:   1018.0 | T:    0.16s | OK
Instancia: medium_19x2_5        | MK:      0.0 | T:    0.00s | TIMEOUT
Instancia: medium_19x3_1        | MK:      0.0 | T:    0.28s | TIMEOUT
Instancia: medium_19x3_2        | MK:      0.0 | T:    0.30s | TIMEOUT
Instancia: medium_19x3_3        | MK:      0.0 | T:    0.26s | TIMEOUT
Instancia: medium_19x3_4        | MK:      0.0 | T:    0.28s | TIMEOUT
Instancia: medium_19x3_5        | MK:      0.0 | T:    0.29s | TIMEOUT
Instancia: medium_19x4_1        | MK:      0.0 | T:    0.33s | TIMEOUT
Instancia: medium_19x4_2        | MK:      0.0 | T:    0.41s | TIMEOUT
Instancia: medium_19x4_3        | MK:      0.0 | T:    0.29s | TIMEOUT
Instancia: medium_19x4_4        | MK:      0.0 | T:    0.27s | TIMEOUT
Instancia: medium_19x4_5        | MK:      0.0 | T:    0.42s | TIMEOUT
Instancia: medium_20x2_1        | MK:      0.0 | T:    0.33s | TIMEOUT
Instancia: medium_20x2_2        | MK:      0.0 | T:    0.28s | TIMEOUT
Instancia: medium_20x2_3        | MK:      0.0 | T:    0.26s | TIMEOUT
Instancia: medium_20x2_4        | MK:      0.0 | T:    0.26s | TIMEOUT
