=== METAHEURÍSTICA | SIZE: MEDIUM | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
-------------------------------------------------------------------------------------
medium_15x2_1          | 811.2      | 7.39       | 799.0    | 1.53    
medium_15x2_2          | 766.2      | 6.98       | 754.0    | 1.62    
medium_15x2_3          | 878.0      | 7.27       | 863.0    | 1.74    
medium_15x2_4          | 785.8      | 6.53       | 772.0    | 1.79    
medium_15x2_5          | 674.2      | 6.27       | 662.0    | 1.84    
medium_15x3_1          | 507.4      | 11.06      | 495.0    | 2.51    
medium_15x3_2          | 556.6      | 9.96       | 545.0    | 2.13    
medium_15x3_3          | 633.8      | 12.15      | 612.0    | 3.56    
medium_15x3_4          | 572.6      | 9.58       | 563.0    | 1.71    
medium_15x3_5          | 602.6      | 13.34      | 590.0    | 2.14    
medium_15x4_1          | 453.8      | 18.92      | 423.0    | 7.28    
medium_15x4_2          | 451.0      | 43.85      | 435.0    | 3.68    
medium_15x4_3          | 359.4      | 34.77      | 339.0    | 6.02    
medium_15x4_4          | 374.4      | 32.84      | 365.0    | 2.58    
medium_15x4_5          | 390.4      | 33.69      | 369.0    | 5.80    
medium_16x2_1          | 893.8      | 19.52      | 877.0    | 1.92    
medium_16x2_2          | 800.8      | 24.53      | 786.0    | 1.88    
medium_16x2_3          | 861.0      | 18.03      | 845.0    | 1.89    
medium_16x2_4          | 891.2      | 19.15      | 876.0    | 1.74    
medium_16x2_5          | 837.0      | 19.32      | 823.0    | 1.70    
medium_16x3_1          | 566.8      | 37.81      | 553.0    | 2.50    
medium_16x3_2          | 567.8      | 33.76      | 555.0    | 2.31    
medium_16x3_3          | 603.0      | 29.06      | 593.0    | 1.69    
medium_16x3_4          | 654.6      | 30.75      | 640.0    | 2.28    
medium_16x3_5          | 620.2      | 40.11      | 604.0    | 2.68    
medium_16x4_1          | 431.6      | 59.05      | 417.0    | 3.50    
medium_16x4_2          | 402.6      | 38.30      | 383.0    | 5.12    
medium_16x4_3          | 451.4      | 45.90      | 430.0    | 4.98    
medium_16x4_4          | 452.0      | 32.57      | 432.0    | 4.63    
medium_16x4_5          | 409.8      | 33.08      | 398.0    | 2.96    
medium_17x2_1          | 825.0      | 20.95      | 812.0    | 1.60    
medium_17x2_2          | 914.2      | 21.27      | 898.0    | 1.80    
medium_17x2_3          | 933.4      | 27.61      | 922.0    | 1.24    
medium_17x2_4          | 960.0      | 24.98      | 948.0    | 1.27    
medium_17x2_5          | 1025.8     | 20.23      | 1009.0   | 1.67    
medium_17x3_1          | 649.6      | 28.43      | 634.0    | 2.46    
medium_17x3_2          | 778.8      | 14.73      | 763.0    | 2.07    
medium_17x3_3          | 670.8      | 12.51      | 651.0    | 3.04    
medium_17x3_4          | 578.8      | 12.90      | 565.0    | 2.44    
medium_17x3_5          | 566.0      | 11.36      | 555.0    | 1.98    
medium_17x4_1          | 511.0      | 21.15      | 491.0    | 4.07    
medium_17x4_2          | 457.2      | 18.47      | 441.0    | 3.67    
medium_17x4_3          | 401.6      | 21.12      | 386.0    | 4.04    
medium_17x4_4          | 498.8      | 16.42      | 474.0    | 5.23    
medium_17x4_5          | 410.4      | 15.50      | 394.0    | 4.16    
medium_18x2_1          | 988.2      | 10.66      | 971.0    | 1.77    
medium_18x2_2          | 771.8      | 10.91      | 756.0    | 2.09    
medium_18x2_3          | 923.4      | 10.48      | 908.0    | 1.70    
medium_18x2_4          | 943.6      | 10.19      | 923.0    | 2.23    
medium_18x2_5          | 1052.4     | 10.31      | 1035.0   | 1.68    
medium_18x3_1          | 652.2      | 14.97      | 638.0    | 2.23    
medium_18x3_2          | 753.4      | 13.85      | 736.0    | 2.36    
medium_18x3_3          | 688.6      | 15.62      | 676.0    | 1.86    
medium_18x3_4          | 630.8      | 13.33      | 615.0    | 2.57    
medium_18x3_5          | 633.6      | 14.19      | 620.0    | 2.19    
medium_18x4_1          | 499.8      | 18.03      | 485.0    | 3.05    
medium_18x4_2          | 504.4      | 17.20      | 490.0    | 2.94    
medium_18x4_3          | 461.6      | 21.68      | 445.0    | 3.73    
medium_18x4_4          | 488.6      | 17.64      | 472.0    | 3.52    
medium_18x4_5          | 514.6      | 16.74      | 492.0    | 4.59    
medium_19x2_1          | 1029.0     | 9.40       | 1016.0   | 1.28    
medium_19x2_2          | 992.6      | 10.69      | 979.0    | 1.39    
medium_19x2_3          | 993.0      | 10.79      | 982.0    | 1.12    
medium_19x2_4          | 1035.8     | 10.78      | 1018.0   | 1.75    
medium_19x2_5          | 853.2      | 9.17       | 836.0    | 2.06    
medium_19x3_1          | 706.0      | 18.66      | 691.0    | 2.17    
medium_19x3_2          | 654.0      | 14.18      | 638.0    | 2.51    
medium_19x3_3          | 637.4      | 16.19      | 625.0    | 1.98    
medium_19x3_4          | 687.2      | 15.80      | 670.0    | 2.57    
medium_19x3_5          | 732.6      | 15.03      | 719.0    | 1.89    
medium_19x4_1          | 551.8      | 19.52      | 532.0    | 3.72    
medium_19x4_2          | 501.0      | 21.88      | 486.0    | 3.09    
