=== METAHEURÍSTICA | SIZE: MEDIUM | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
-------------------------------------------------------------------------------------
medium_15x2_1          | 811.2      | 5.64       | 799.0    | 1.53    
medium_15x2_2          | 766.2      | 7.24       | 754.0    | 1.62    
medium_15x2_3          | 877.4      | 6.49       | 863.0    | 1.67    
medium_15x2_4          | 785.6      | 5.96       | 772.0    | 1.76    
medium_15x2_5          | 674.0      | 5.37       | 662.0    | 1.81    
medium_15x3_1          | 506.6      | 8.90       | 495.0    | 2.34    
medium_15x3_2          | 558.2      | 9.37       | 545.0    | 2.42    
medium_15x3_3          | 633.0      | 11.93      | 612.0    | 3.43    
medium_15x3_4          | 572.6      | 8.48       | 563.0    | 1.71    
medium_15x3_5          | 601.4      | 10.06      | 590.0    | 1.93    
medium_15x4_1          | 447.2      | 13.49      | 423.0    | 5.72    
medium_15x4_2          | 451.0      | 11.57      | 435.0    | 3.68    
medium_15x4_3          | 360.0      | 13.98      | 339.0    | 6.19    
medium_15x4_4          | 374.0      | 11.64      | 365.0    | 2.47    
medium_15x4_5          | 390.0      | 11.67      | 369.0    | 5.69    
medium_16x2_1          | 892.2      | 8.69       | 877.0    | 1.73    
medium_16x2_2          | 800.6      | 7.15       | 786.0    | 1.86    
medium_16x2_3          | 860.0      | 6.19       | 845.0    | 1.78    
medium_16x2_4          | 890.0      | 7.51       | 876.0    | 1.60    
medium_16x2_5          | 837.0      | 7.44       | 823.0    | 1.70    
medium_16x3_1          | 566.8      | 13.36      | 553.0    | 2.50    
medium_16x3_2          | 567.6      | 10.03      | 555.0    | 2.27    
medium_16x3_3          | 602.4      | 9.95       | 593.0    | 1.59    
medium_16x3_4          | 654.0      | 10.93      | 640.0    | 2.19    
medium_16x3_5          | 622.0      | 9.35       | 604.0    | 2.98    
medium_16x4_1          | 432.4      | 14.51      | 417.0    | 3.69    
medium_16x4_2          | 403.6      | 13.81      | 383.0    | 5.38    
medium_16x4_3          | 450.8      | 12.76      | 430.0    | 4.84    
medium_16x4_4          | 452.0      | 12.68      | 432.0    | 4.63    
medium_16x4_5          | 410.8      | 12.64      | 398.0    | 3.22    
medium_17x2_1          | 825.0      | 7.02       | 812.0    | 1.60    
medium_17x2_2          | 914.4      | 8.11       | 898.0    | 1.83    
medium_17x2_3          | 935.0      | 9.65       | 922.0    | 1.41    
medium_17x2_4          | 961.6      | 7.18       | 948.0    | 1.43    
medium_17x2_5          | 1023.4     | 7.75       | 1009.0   | 1.43    
medium_17x3_1          | 649.8      | 11.97      | 634.0    | 2.49    
medium_17x3_2          | 778.2      | 11.03      | 763.0    | 1.99    
medium_17x3_3          | 669.8      | 10.33      | 651.0    | 2.89    
medium_17x3_4          | 580.0      | 11.89      | 565.0    | 2.65    
medium_17x3_5          | 566.0      | 12.42      | 555.0    | 1.98    
medium_17x4_1          | 509.8      | 23.13      | 491.0    | 3.83    
medium_17x4_2          | 456.0      | 19.45      | 441.0    | 3.40    
medium_17x4_3          | 401.4      | 19.55      | 386.0    | 3.99    
medium_17x4_4          | 498.0      | 17.28      | 474.0    | 5.06    
medium_17x4_5          | 408.8      | 16.81      | 394.0    | 3.76    
