Combination,MK exacto,Time Exacto,MK random,Time Random,GAP Random,MK Grasp,Time GRASP,GAP GRASP
30x3,1004.8,0.174,1027.48,46.284,2.294,1027.04,54.29,2.25
30x4,804.8,0.268,822.64,866.34,2.224,823.2,72.4,2.3
30x5,645.0,0.506,661.8,626.44,2.606,662.04,80.736,2.642
40x3,1356.8,0.28,1387.44,93.464,2.258,1389.24,107.732,2.392
40x4,1108.6,0.42,1134.16,479.558,2.3,1135.0,155.182,2.376
40x5,902.8,0.514,924.72,175.578,2.438,925.44,184.672,2.514
50x3,1704.6,0.462,1745.56,185.774,2.414,1749.36,159.018,2.644
50x4,1289.8,0.774,1322.48,263.136,2.544,1322.68,259.246,2.556
50x5,1060.0,1.398,1088.8,2071.848,2.714,1089.04,270.912,2.736
60x3,2149.6,0.628,2198.76,303.816,2.29,2201.72,281.15,2.428
60x4,1572.8,1.03,1615.36,384.81,2.71,1617.2,384.934,2.838
60x5,1229.2,1.284,1264.6,479.466,2.89,1265.16,416.818,2.928
70x3,2436.8,0.662,2499.0,431.486,2.558,2501.8,415.328,2.674
70x4,1840.6,1.078,1893.16,488.596,2.862,1896.36,513.912,3.036
70x5,1451.4,1.468,1495.84,628.55,3.07,1496.56,594.298,3.116
