Combination,MK exacto,Time Exacto,MK random,Time Random,GAP Random,MK Grasp,Time GRASP,GAP GRASP
15x2,782.4,3600.0,782.88,6.14,1.678,783.08,6.888,1.704
15x3,571.8,3600.0,574.36,9.748,2.366,574.6,11.218,2.41
15x4,400.0,3600.0,404.44,12.47,4.75,405.8,32.814,5.072
16x2,855.4,3600.0,855.96,7.396,1.734,856.76,20.11,1.826
16x3,601.0,3600.0,602.56,10.724,2.306,602.48,34.298,2.292
16x4,427.6,3600.0,429.92,13.28,4.352,429.48,41.78,4.238
17x2,930.6,3601.8,931.88,7.942,1.54,931.68,23.008,1.516
17x3,647.4,3600.2,648.76,11.528,2.4,648.8,15.986,2.398
17x4,452.2,3600.2,454.8,19.244,4.008,455.8,18.532,4.234
18x2,934.6,3600.0,935.28,9.084,1.834,935.88,10.51,1.894
18x3,671.0,3600.0,671.92,14.976,2.274,671.72,14.392,2.242
18x4,491.6,3600.0,493.16,19.14,3.432,493.8,18.258,3.566
19x2,979.2,3600.0,981.0,1231.884,1.544,980.72,10.166,1.52
19x3,684.2,3600.2,683.2,16.046,2.186,683.44,15.972,2.224
19x4,515.0,3600.2,518.36,20.758,3.85,516.72,21.636,3.532
20x2,1073.0,3600.0,1071.8,10.694,1.75,1072.72,11.146,1.836
20x3,710.8,3600.0,711.68,14.98,2.218,710.96,17.088,2.1
20x4,505.6,3600.2,504.44,24.534,2.918,506.36,176.324,3.308
