Combination,MK exacto,Time Exacto,MK random,Time Random,GAP RAndom,MK Grasp,Time GRASP,GAP GRASP
6x2,267.4,0.04,270.8,0.058,2.134,270.8,0.06,2.134
6x3,182.0,0.032,186.8,0.08,10.192,186.8,0.09,10.192
7x2,284.2,0.03,293.44,0.076,3.682,293.44,0.08,3.682
7x3,221.0,0.026,226.68,0.116,5.68,226.68,0.12,5.678
8x2,311.0,0.034,320.0,0.094,3.13,320.0,0.124,3.13
8x3,255.2,0.034,264.92,0.136,6.138,265.16,0.14,6.23
9x2,343.6,0.034,353.2,0.114,2.882,353.2,0.114,2.882
9x3,251.2,0.042,266.4,0.18,7.134,266.32,0.202,7.114
10x2,409.0,0.032,416.92,0.15,2.032,416.92,0.142,2.032
10x3,303.0,0.044,315.84,0.258,4.98,315.92,0.228,5.004
11x2,486.8,0.032,497.44,0.182,2.208,497.28,0.194,2.178
11x3,305.8,0.06,315.36,0.294,3.636,315.36,0.282,3.636
12x2,483.0,0.044,493.08,0.212,2.168,492.96,0.238,2.144
12x3,323.0,0.086,334.8,0.332,3.928,334.92,0.312,3.962
