=== METAHEURÍSTICA | SIZE: SMALL | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
-------------------------------------------------------------------------------------
small_6x2_1            | 327.0      | 0.05       | 321.0    | 1.87    
small_6x2_2            | 272.0      | 0.06       | 266.0    | 2.26    
small_6x2_3            | 219.0      | 0.06       | 215.0    | 1.86    
small_6x2_4            | 211.0      | 0.06       | 204.0    | 3.43    
small_6x2_5            | 325.0      | 0.06       | 321.0    | 1.25    
small_6x3_1            | 218.0      | 0.08       | 190.0    | 14.74   
small_6x3_2            | 231.0      | 0.08       | 215.0    | 7.44    
small_6x3_3            | 157.0      | 0.08       | 148.0    | 6.08    
small_6x3_4            | 176.0      | 0.08       | 165.0    | 6.67    
small_6x3_5            | 152.0      | 0.08       | 131.0    | 16.03   
small_7x2_1            | 318.2      | 0.10       | 311.0    | 2.32    
small_7x2_2            | 280.0      | 0.07       | 273.0    | 2.56    
small_7x2_3            | 299.0      | 0.07       | 283.0    | 5.65    
small_7x2_4            | 276.0      | 0.07       | 260.0    | 6.15    
small_7x2_5            | 294.0      | 0.07       | 289.0    | 1.73    
small_7x3_1            | 214.0      | 0.12       | 206.0    | 3.88    
small_7x3_2            | 206.0      | 0.11       | 199.0    | 3.52    
small_7x3_3            | 253.0      | 0.12       | 239.0    | 5.86    
small_7x3_4            | 239.8      | 0.12       | 223.0    | 7.53    
small_7x3_5            | 220.6      | 0.11       | 205.0    | 7.61    
small_8x2_1            | 375.0      | 0.12       | 358.0    | 4.75    
small_8x2_2            | 285.0      | 0.08       | 278.0    | 2.52    
small_8x2_3            | 284.0      | 0.09       | 274.0    | 3.65    
small_8x2_4            | 375.0      | 0.09       | 367.0    | 2.18    
small_8x2_5            | 281.0      | 0.09       | 274.0    | 2.55    
small_8x3_1            | 295.0      | 0.13       | 286.0    | 3.15    
small_8x3_2            | 217.0      | 0.14       | 196.0    | 10.71   
small_8x3_3            | 299.0      | 0.13       | 283.0    | 5.65    
small_8x3_4            | 274.6      | 0.14       | 256.0    | 7.27    
small_8x3_5            | 239.0      | 0.14       | 230.0    | 3.91    
small_9x2_1            | 351.0      | 0.12       | 345.0    | 1.74    
small_9x2_2            | 401.0      | 0.11       | 392.0    | 2.30    
small_9x2_3            | 319.0      | 0.12       | 309.0    | 3.24    
small_9x2_4            | 354.0      | 0.11       | 339.0    | 4.42    
small_9x2_5            | 341.0      | 0.11       | 332.0    | 2.71    
small_9x3_1            | 279.0      | 0.17       | 260.0    | 7.31    
small_9x3_2            | 264.6      | 0.18       | 245.0    | 8.00    
small_9x3_3            | 240.6      | 0.17       | 227.0    | 5.99    
small_9x3_4            | 313.8      | 0.19       | 288.0    | 8.96    
small_9x3_5            | 234.0      | 0.19       | 222.0    | 5.41    
small_10x2_1           | 367.0      | 0.13       | 358.0    | 2.51    
small_10x2_2           | 438.0      | 0.13       | 431.0    | 1.62    
small_10x2_3           | 466.6      | 0.17       | 460.0    | 1.43    
small_10x2_4           | 502.0      | 0.16       | 494.0    | 1.62    
small_10x2_5           | 311.0      | 0.16       | 302.0    | 2.98    
small_10x3_1           | 354.8      | 0.22       | 346.0    | 2.54    
small_10x3_2           | 336.0      | 0.31       | 311.0    | 8.04    
small_10x3_3           | 267.0      | 0.21       | 254.0    | 5.12    
small_10x3_4           | 351.8      | 0.21       | 340.0    | 3.47    
small_10x3_5           | 269.6      | 0.34       | 255.0    | 5.73    
small_11x2_1           | 512.0      | 0.15       | 502.0    | 1.99    
small_11x2_2           | 457.0      | 0.22       | 447.0    | 2.24    
small_11x2_3           | 566.2      | 0.16       | 556.0    | 1.83    
small_11x2_4           | 513.6      | 0.22       | 502.0    | 2.31    
small_11x2_5           | 438.4      | 0.16       | 427.0    | 2.67    
small_11x3_1           | 303.0      | 0.27       | 293.0    | 3.41    
small_11x3_2           | 237.8      | 0.32       | 231.0    | 2.94    
small_11x3_3           | 312.0      | 0.38       | 294.0    | 6.12    
small_11x3_4           | 361.0      | 0.24       | 348.0    | 3.74    
small_11x3_5           | 363.0      | 0.26       | 356.0    | 1.97    
small_12x2_1           | 536.0      | 0.20       | 525.0    | 2.10    
small_12x2_2           | 425.0      | 0.19       | 416.0    | 2.16    
small_12x2_3           | 591.0      | 0.19       | 580.0    | 1.90    
small_12x2_4           | 551.4      | 0.29       | 543.0    | 1.55    
small_12x2_5           | 362.0      | 0.19       | 351.0    | 3.13    
small_12x3_1           | 333.6      | 0.36       | 323.0    | 3.28    
small_12x3_2           | 242.0      | 0.29       | 229.0    | 5.68    
small_12x3_3           | 426.0      | 0.34       | 413.0    | 3.15    
small_12x3_4           | 371.4      | 0.36       | 358.0    | 3.74    
small_12x3_5           | 301.0      | 0.31       | 290.0    | 3.79    
