group,MK exacto,Time Exacto,MK random,Time Random,GAP Random,MK Grasp,Time GRASP,GAP GRASP
medium_15x2,782.4,3600.259935235977,782.88,6.14,1.6780000000000002,783.08,6.888,1.704
medium_15x3,571.8,3600.437977218628,574.36,9.748000000000001,2.366,574.6,11.218,2.41
medium_15x4,400.0,3600.8540901660917,404.44,12.47,4.75,405.8,32.814,5.072
medium_16x2,855.4,3600.2630890369414,855.96,7.396000000000001,1.734,856.76,20.11,1.8259999999999998
medium_16x3,601.0,3600.8574715137484,602.5600000000001,10.724,2.306,602.48,34.298,2.2920000000000003
medium_16x4,427.6,3600.4111978054048,429.91999999999996,13.280000000000001,4.351999999999999,429.48,41.779999999999994,4.238
medium_17x2,930.6,3600.1933492660523,931.8799999999999,7.942,1.54,931.68,23.008,1.516
medium_17x3,647.4,3600.4044165611267,648.76,11.528,2.4,648.8,15.986,2.398
medium_17x4,452.2,3600.8629967689512,454.8,19.244,4.008,455.8,18.532,4.234
medium_18x2,934.6,3600.183503198624,935.28,9.084,1.834,935.8799999999999,10.51,1.8940000000000001
medium_18x3,671.0,3600.3053392887114,671.92,14.975999999999999,2.274,671.72,14.392,2.242
medium_18x4,491.6,3600.7896181583405,493.16,19.14,3.432,493.8,18.258,3.566
medium_19x2,979.2,3600.189778852463,981.0,1231.8839999999998,1.544,980.72,10.166,1.52
medium_19x3,684.2,3600.4224617004393,683.2,16.046,2.186,683.4399999999999,15.972,2.2239999999999998
medium_19x4,515.0,3600.59477353096,518.3599999999999,20.758,3.85,516.72,21.636000000000003,3.532
medium_20x2,1073.0,3600.152917957306,1071.8,10.693999999999999,1.75,1072.72,11.146,1.8359999999999999
medium_20x3,710.8,3600.395718240738,711.6800000000001,14.98,2.218,710.96,17.088,2.1
medium_20x4,505.6,3600.566542959213,504.43999999999994,24.534,2.918,506.36,176.324,3.308
